Word,Length,Freq_KF,Freq_HAL,SUBTLWF,POS
feel,4,216,162048,627.24,VB|NN
felicity,8,4,280,16.8,NN
fencing,7,4,3027,1.37,NN|VB
fender,6,4,2584,2.55,NN
fertile,7,5,1394,1.57,JJ
fertilizer,10,4,1231,1.96,NN
fervent,7,5,301,0.35,JJ
fervor,6,4,435,0.29,NN
fiasco,6,4,1354,1.63,NN
fibrous,7,5,218,0.25,JJ
field,5,274,79920,70.2,NN|VB
fight,5,98,40281,201.08,NN|VB
figurative,10,5,246,0.08,JJ
figure,6,209,56510,129.37,NN|VB
file,4,81,311710,44.04,NN|VB
film,4,96,52691,65.25,NN|VB
final,5,156,49025,49.67,JJ
financial,9,86,38129,15.24,JJ
find,4,399,378725,830.96,VB|NN
fine,4,161,111801,598.08,JJ|NN|VB|RB
fire,4,187,62707,215.49,NN|VB
firm,4,109,34530,35.27,NN|JJ
first,5,1360,518924,840.57,JJ|RB|NN
fiscal,6,116,4505,0.76,JJ|NN
fission,7,5,1739,0.31,NN
five,4,286,62706,285.45,minor|NN
flannel,7,4,448,1.37,NN
flask,5,5,809,1.12,NN|VB
flint,5,4,1668,4.35,NN
flip,4,4,5994,14.27,JJ|VB|NN
floor,5,158,35635,100.63,NN|VB
flourish,8,5,924,0.8,VB|NN
fluent,6,5,1891,1.16,JJ
flurry,6,4,721,0.47,NN
follow,6,97,58490,123.2,VB
food,4,147,59724,154.43,NN
forbid,6,4,2766,8.55,VB
force,5,230,75365,70.67,NN|VB
foreign,7,158,42189,22.29,JJ
form,4,370,118268,42.75,NN|VB
former,6,131,37821,18.27,JJ|NN
forward,7,115,58128,72.33,RB|JJ|VB|NN
foul,4,4,4072,14.47,JJ|VB
found,5,536,199981,396,VB|NN
four,4,359,85200,255.78,minor|NN
franchise,9,5,2376,2.37,NN|VB
freak,5,4,4223,36.75,NN|VB
free,4,260,244067,177.53,JJ|NN|VB|RB
freedom,7,128,44824,33.1,NN
freeway,7,5,2422,5.53,NN
freighter,9,4,617,2.14,NN
fresh,5,82,15597,54.51,JJ|NN
friend,6,133,81053,419.29,NN
frigid,6,5,297,1.39,JJ
from,4,4369,1894943,2039.06,minor
front,5,221,77889,181.55,NN|JJ|VB
frustrate,9,4,258,0.27,VB
full,4,230,155605,166.9,JJ|RB
function,8,113,57907,11.08,NN|VB
furrow,6,5,151,0.1,NN|VB
further,7,218,83287,52.75,JJ|RB|VB
fuse,4,5,2292,4.86,NN|JJ
fuss,4,4,1986,7.14,NN|VB
future,6,227,90741,103.49,NN|JJ
gables,6,4,314,0.63,NN
gadget,6,4,1337,2.43,NN
gallant,7,5,481,3.27,JJ|NN
galley,6,4,470,1.61,NN
gallop,6,4,214,0.94,NN|VB
game,4,123,197271,233.84,NN|VB
gardener,8,4,789,4.2,NN
garlic,6,4,4140,6,NN|JJ
garrison,8,5,1708,4.57,NN
gelding,7,4,287,0.41,NN|VB
general,7,497,148204,115.39,JJ|NN
generalize,10,5,1174,0.08,VB
genesis,7,4,9619,2,NN
genetic,7,5,12111,7.55,JJ
genial,6,5,140,0.2,JJ
genteel,7,4,214,0.55,JJ
geography,9,5,3256,2.29,NN
geology,7,5,2725,0.92,NN
girl,4,220,40340,557.12,NN
give,4,391,230878,1167.82,VB
glamor,6,4,79,0.1,NN
glass,5,99,20768,60.71,NN
gleam,5,4,451,0.98,NN|VB
glisten,7,4,79,0.43,VB
glitter,7,5,898,2.04,NN|VB
global,6,4,30247,6.29,JJ
glycerine,9,5,151,0.04,NN
going,5,399,305772,2123.29,VB|NN
good,4,807,628816,2610.14,JJ|NN|RB
goose,5,4,1790,13.04,NN
Gothic,6,4,2762,0.94,JJ|NN
government,10,417,172375,65.24,NN
governor,8,83,6135,26.84,NN
grammar,7,4,6044,2.39,NN
graphite,8,5,1092,0.41,NN
gravy,5,4,916,5.27,NN
gray,4,80,12665,21.12,JJ|NN|VB
great,5,665,260267,820.86,JJ|NN|RB
green,5,116,90773,72.47,JJ|NN|VB
groin,5,4,1297,1.8,NN
ground,6,186,48767,72.47,NN|VB
group,5,390,284243,73.76,NN|VB
growth,6,155,36594,6.45,NN
gruff,5,4,206,0.55,JJ
gully,5,5,215,0.92,NN
gunmen,6,4,506,1.25,NN
gypsy,5,4,1974,6.63,NN
hair,4,148,42603,153.55,NN
half,4,275,71926,199.14,NN|minor|VB
hall,4,152,33443,51.94,NN
hammock,7,5,167,1.39,NN
hamper,6,5,464,1.41,VB|NN
hand,4,431,124848,279.65,NN|VB
happy,5,98,70881,333.2,JJ
hard,4,202,176370,307.84,JJ|RB
hardly,6,106,21524,51.24,RB
harmless,8,5,2854,8.65,JJ|NN
hatch,5,5,2609,12.82,NN|VB
hatchet,7,4,506,1.96,NN
haunt,5,4,954,3.57,VB|NN
have,4,3941,3003873,6161.41,VB|NN
head,4,424,109089,371.51,NN|VB
headline,8,4,1983,2.59,NN
health,6,105,60950,40.27,NN
hear,4,153,90309,555.35,VB|NN
heard,5,247,133757,387.75,VB|NN
heart,5,173,45783,244.18,NN|VB
heartbeat,9,4,1382,5.57,NN
hearth,6,4,419,0.67,NN
heat,4,97,28372,40.08,NN|VB
heavy,5,110,32826,47.29,JJ|NN|RB
held,4,264,58944,42.45,VB
helm,4,4,4959,5.35,NN
help,4,311,335483,921.12,VB|NN
hemorrhage,10,5,205,1.71,NN|VB
here,4,750,477382,4525.25,RB|NN
heroine,7,5,1027,1.45,NN
herself,7,125,19586,52.45,minor
high,4,497,185510,195,JJ|RB|NN
hike,4,4,2398,6.53,VB|NN
himself,7,603,56572,140.55,minor
history,7,286,87544,83.92,NN
hoarse,6,5,212,0.49,JJ
hold,4,169,71050,436.73,VB|NN
holocaust,9,5,6978,1.96,NN
home,4,547,190434,774.33,NN|VB|RB
homecoming,10,4,444,5.59,VB|NN
homeland,8,5,1570,4.78,NN
homemade,8,4,1360,2.86,JJ
hook,4,5,11610,38,NN|VB
hope,4,178,150675,320.63,NN|VB
horse,5,117,23855,92.88,NN|VB
horsepower,10,5,1831,1.22,NN
hospitable,10,4,221,0.82,JJ
hospital,8,110,19468,124.2,NN
hotel,5,126,20364,103.22,NN
hour,4,144,46820,162.29,NN
house,5,591,104153,514,NN
housewife,9,4,726,3.53,NN
hover,5,4,731,1.16,VB
however,7,552,230166,45.08,RB|minor
howl,4,4,3225,2.06,NN|VB
huddle,6,4,213,2.18,NN|VB
human,5,299,180168,124.76,JJ|NN
humane,6,5,1915,1.82,JJ
humanist,8,4,1013,0.08,NN|JJ
humbly,6,4,959,1.86,RB
hundred,7,171,18969,78.73,minor|NN
husband,7,131,19172,194.8,NN|VB
hush,4,4,517,7.61,NN|JJ|VB
hustler,7,4,700,2.96,NN
idea,4,195,133710,359.04,NN|minor
idealist,8,4,606,0.67,NN
idyllic,7,4,183,0.45,JJ
ignition,8,5,2158,4.16,NN
image,5,119,63630,22.63,NN|VB
immaculate,10,5,726,0.78,JJ
immediate,9,81,31523,11.2,JJ
immoral,7,5,4130,2.61,JJ
impair,6,4,441,0.16,VB
imperfect,9,4,1508,0.96,JJ
implement,9,4,15447,1.24,VB
important,9,369,105978,207.59,JJ|NN
impossible,10,84,27164,59.12,JJ
impress,7,4,2612,10.2,VB
imprisoned,10,4,2418,2.06,VB|JJ
incipient,9,4,200,0.08,JJ
incisive,8,4,222,0.16,JJ
incline,7,4,663,0.37,NN
include,7,113,144495,11.14,VB
inclusive,9,4,1996,0.22,JJ
incoherent,10,4,823,0.53,JJ
income,6,109,35824,7.41,NN
increase,8,195,43670,8.55,NN
incubation,10,4,249,0.41,NN
incumbent,9,4,1045,0.67,JJ
indecent,8,5,5749,1.78,JJ
indeed,6,162,43972,40.49,RB
index,5,81,32443,2.08,NN|VB
indicate,8,80,22492,8.33,VB
individual,10,239,65280,11.69,JJ|NN
indoor,6,4,3489,1.33,JJ
industrial,10,143,19750,4.57,JJ
industry,8,171,56926,11.69,NN
inert,5,5,622,0.35,JJ|NN
infamous,8,4,3963,2.24,JJ
infatuation,11,4,235,0.84,NN
infected,8,4,5077,8.27,VB|JJ
inflation,9,5,7076,1.04,NN
inflict,7,4,1204,1.35,VB
influence,9,132,19809,14.78,NN|VB
influx,6,4,895,0.25,NN
information,11,269,467659,89.35,NN
infrequent,10,4,771,0.1,JJ
ingested,8,4,402,0.57,VB
inherit,7,4,1968,3.55,VB
inhumane,8,4,499,0.45,JJ
initiate,8,5,3109,3.33,VB
inlet,5,4,771,0.45,NN
innate,6,4,1198,0.76,JJ
innings,7,4,1935,0.96,NN
inquest,7,5,337,0.8,NN|JJ
inseparable,11,4,324,1,JJ
inside,6,174,63772,211.27,minor|NN|JJ
insides,7,4,978,2.65,NN
instability,11,4,1320,1.02,NN
instance,8,82,26887,16.78,NN
instead,7,173,106318,79.27,RB|NN
integer,7,4,9632,0.14,NN
intellect,9,5,2583,2.14,NN
interest,8,330,90246,50.94,NN|VB
interrupt,9,4,15428,18.73,VB
intervened,10,4,523,0.8,VB
into,4,1791,563310,844.59,minor
intrigue,8,4,747,1.51,VB
intrinsic,9,5,1774,0.2,JJ
invade,6,5,1855,3.06,VB
inverse,7,5,1936,0.27,JJ|NN|VB
invoke,6,4,4729,1,VB
island,6,167,44872,39.57,NN
isle,4,5,2369,1.22,NN
isotonic,8,4,36,0.04,JJ
issue,5,152,117620,34.14,NN|VB
itch,4,5,758,4.18,VB|NN
itself,6,304,76297,39.78,minor|NN
jaguar,6,5,6258,2.37,NN
janitor,7,4,573,5.73,NN
jargon,6,4,1633,0.61,NN
jazz,4,99,13759,11.92,NN
jealous,7,4,3341,38.27,JJ
jeopardy,8,4,1024,3.43,NN
jerky,5,4,1281,2.27,JJ|NN
jockey,6,5,916,4.84,NN
jocular,7,4,60,0.02,JJ
jolly,5,4,1768,7.49,JJ|VB|NN
jolt,4,4,817,1.37,NN|VB
jowls,5,4,50,0.31,NN
joyous,6,5,459,1.35,JJ
jumble,6,4,238,0.31,NN|VB
juncture,8,4,466,0.78,NN
juror,5,4,295,2.57,NN
